created_at,full_text,full_text_english,Positif,Negatif,Netral,Compound,klasifikasi,norm,tokens,stopword,stemming,stemming_string
2024-02-19 13:51:18,saksikan inews prime dinilai curang pemilu diminta ulang senin 19 februari 2024 pukul 2030 wib hanya di inews,watch inews prime is considered cheating the election is asked to be again monday february 19 2024 at 2030 wib only on inews,0.0,0.0,1.0,0.0,Netral,saksikan inews prime dinilai curang pemilu diminta ulang senin 19 februari 2024 pukul 2030 wib hanya di inews,"['saksikan', 'inews', 'prime', 'dinilai', 'curang', 'pemilu', 'diminta', 'ulang', 'senin', '19', 'februari', '2024', 'pukul', '2030', 'wib', 'hanya', 'di', 'inews']","['saksikan', 'inews', 'prime', 'dinilai', 'curang', 'pemilu', 'ulang', 'senin', '19', 'februari', '2024', '2030', 'wib', 'inews']","['saksi', 'inews', 'prime', 'nilai', 'curang', 'milu', 'ulang', 'senin', '19', 'februari', '2024', '2030', 'wib', 'inews']",saksi inews prime nilai curang pemilu ulang senin 19 februari 2024 2030 wib inews
2024-02-19 13:57:59,lalu berdasarkan video ini bisa dibuat kesimpulan bahwa pemilu kali ini tidak curang gitu orang 7olol mana yg mau ambil kesimpulan berdasarkan video itu,then based on this video based on this videois that sowhich 7olol people want to draw conclusions based on the video,0.0,0.0,1.0,0.0,Netral,lalu berdasarkan video ini bisa dibuat kesimpulan bahwa pemilu kali ini tidak curang begitu orang 7olol mana yang mau ambil kesimpulan berdasarkan video itu,"['lalu', 'berdasarkan', 'video', 'ini', 'bisa', 'dibuat', 'kesimpulan', 'bahwa', 'pemilu', 'kali', 'ini', 'tidak', 'curang', 'begitu', 'orang', '7olol', 'mana', 'yang', 'mau', 'ambil', 'kesimpulan', 'berdasarkan', 'video', 'itu']","['berdasarkan', 'video', 'kesimpulan', 'pemilu', 'curang', 'orang', 'ambil', 'kesimpulan', 'berdasarkan', 'video']","['dasar', 'video', 'simpul', 'milu', 'curang', 'orang', 'ambil', 'simpul', 'dasar', 'video']",dasar video simpul pemilu curang orang ambil simpul dasar video
2024-02-19 14:03:03,profesor dr mahfud md menyebutkan pemilu 2024 berpeluang di ulang bahkan pemenangnya bisa di diskualifikasi jika terbukti curang dgn melawan kita tidak sepenuhnya kalah,professor dr mahfud md said that the 2024 election has a chance to repeat even the winner can be disqualified if it is proven cheating by fighting we are not completely defeated,0.0,0.05,0.95,-0.05,Negatif,profesor dari mahfud md menyebutkan pemilu 2024 berpeluang di ulang bahkan pemenangnya bisa di diskualifikasi jika terbukti curang dengan melawan kita tidak sepenuhnya kalah,"['profesor', 'dari', 'mahfud', 'md', 'menyebutkan', 'pemilu', '2024', 'berpeluang', 'di', 'ulang', 'bahkan', 'pemenangnya', 'bisa', 'di', 'diskualifikasi', 'jika', 'terbukti', 'curang', 'dengan', 'melawan', 'kita', 'tidak', 'sepenuhnya', 'kalah']","['profesor', 'mahfud', 'md', 'pemilu', '2024', 'berpeluang', 'ulang', 'pemenangnya', 'diskualifikasi', 'terbukti', 'curang', 'melawan', 'sepenuhnya', 'kalah']","['profesor', 'mahfud', 'md', 'milu', '2024', 'peluang', 'ulang', 'menang', 'diskualifikasi', 'bukti', 'curang', 'lawan', 'sepenuh', 'kalah']",profesor mahfud md pemilu 2024 peluang ulang menang diskualifikasi bukti curang lawan sepenuh kalah
2024-02-19 14:08:27,profesor nih guys fakta harus diungkap kebenaran hrs ditegakkan profesor dr mahfud md menyebutkan pemilu 2024 berpeluang di ulang bahkan pemenangnya bisa di diskualifikasi jika terbukti curang sudah ada yurisprudensinya,professor guys facts must be revealed the truth must be upheld professor dr mahfud md said that the 2024 election has a chance to be repeated even the winner can be disqualified if it is proven cheating there is already a jurisprudence,0.0,0.0,1.0,0.0,Netral,profesor nih guys fakta harus diungkap kebenaran harus ditegakkan profesor dari mahfud md menyebutkan pemilu 2024 berpeluang di ulang bahkan pemenangnya bisa di diskualifikasi jika terbukti curang sudah ada yurisprudensinya,"['profesor', 'nih', 'guys', 'fakta', 'harus', 'diungkap', 'kebenaran', 'harus', 'ditegakkan', 'profesor', 'dari', 'mahfud', 'md', 'menyebutkan', 'pemilu', '2024', 'berpeluang', 'di', 'ulang', 'bahkan', 'pemenangnya', 'bisa', 'di', 'diskualifikasi', 'jika', 'terbukti', 'curang', 'sudah', 'ada', 'yurisprudensinya']","['profesor', 'fakta', 'diungkap', 'kebenaran', 'ditegakkan', 'profesor', 'mahfud', 'md', 'pemilu', '2024', 'berpeluang', 'ulang', 'pemenangnya', 'diskualifikasi', 'terbukti', 'curang', 'yurisprudensinya']","['profesor', 'fakta', 'ungkap', 'benar', 'tegak', 'profesor', 'mahfud', 'md', 'milu', '2024', 'peluang', 'ulang', 'menang', 'diskualifikasi', 'bukti', 'curang', 'yurisprudensi']",profesor fakta ungkap benar tegak profesor mahfud md pemilu 2024 peluang ulang menang diskualifikasi bukti curang yurisprudensi
2024-02-19 14:09:55,joggetin aja aahhhh all in sini pada mampir kalian 2024,just jogging aahhhh all in here to stop by you 2024,0.0,0.0,1.0,0.0,Netral,joggetin saja aahhhh all in sini pada mampir kalian 2024,"['joggetin', 'saja', 'aahhhh', 'all', 'in', 'sini', 'pada', 'mampir', 'kalian', '2024']","['mampir', '2024']","['mampir', '2024']",mampir 2024
2024-02-19 14:23:01,anti jokowiwoi pinokio si plonga plongo rakyat sdh pd cerdas ga bs kamu bohongi lg liat aj sblm pemilu 2024 kamu akan digulingkn pemilu 2024 paslon 02 menang versi rc amp jokowi blm terguling anti jokowi ngoceh lg jokowi curang 02 menang krn rakyat dibodohi dg bansos,anti jokowi woi pinokio the plonga plongo the people have been smart you cant lie to againlook at the 2024 elections you will be overwritten election 2024 paslon 02 won the rc amp jokowi version of the rolled,0.21428571428571427,0.0,0.7857142857142857,0.21428571428571427,Positif,anti jokowiwoi pinokio si plonga plongo rakyat sudah pd cerdas tidak bisa kamu bohongi lagi lihat saja sebelum pemilu 2024 kamu akan digulingkn pemilu 2024 pasangan calon 02 menang versi rc amp jokowi belum terguling anti jokowi mengoceh lagi jokowi curang 02 menang karena rakyat dibodohi dengan bansos,"['anti', 'jokowiwoi', 'pinokio', 'si', 'plonga', 'plongo', 'rakyat', 'sudah', 'pd', 'cerdas', 'tidak', 'bisa', 'kamu', 'bohongi', 'lagi', 'lihat', 'saja', 'sebelum', 'pemilu', '2024', 'kamu', 'akan', 'digulingkn', 'pemilu', '2024', 'pasangan', 'calon', '02', 'menang', 'versi', 'rc', 'amp', 'jokowi', 'belum', 'terguling', 'anti', 'jokowi', 'mengoceh', 'lagi', 'jokowi', 'curang', '02', 'menang', 'karena', 'rakyat', 'dibodohi', 'dengan', 'bansos']","['jokowiwoi', 'rakyat', 'cerdas', 'bohongi', 'lihat', 'pemilu', '2024', 'digulingkn', 'pemilu', '2024', 'pasangan', 'calon', '02', 'menang', 'rc', 'amp', 'jokowi', 'terguling', 'jokowi', 'mengoceh', 'jokowi', 'curang', '02', 'menang', 'rakyat', 'dibodohi', 'bansos']","['jokowiwoi', 'rakyat', 'cerdas', 'bohong', 'lihat', 'milu', '2024', 'digulingkn', 'milu', '2024', 'pasang', 'calon', '02', 'menang', 'rc', 'amp', 'jokowi', 'guling', 'jokowi', 'oceh', 'jokowi', 'curang', '02', 'menang', 'rakyat', 'bodoh', 'bansos']",jokowiwoi rakyat cerdas bohong lihat pemilu 2024 digulingkn pemilu 2024 pasang calon 02 menang rc amp jokowi guling jokowi oceh jokowi curang 02 menang rakyat bodoh bansos
2024-02-19 14:50:20,nah lho pemilu 2024 berpeluang diulang bahkan pemenangnya bisa didiskualifikasi jika terbukti curang,well you know the 2024 election has the opportunity to be repeated even the winner can be disqualified if it is proven to cheat,0.0,0.0,1.0,0.0,Netral,nah lho pemilu 2024 berpeluang diulang bahkan pemenangnya bisa didiskualifikasi jika terbukti curang,"['nah', 'lho', 'pemilu', '2024', 'berpeluang', 'diulang', 'bahkan', 'pemenangnya', 'bisa', 'didiskualifikasi', 'jika', 'terbukti', 'curang']","['pemilu', '2024', 'berpeluang', 'diulang', 'pemenangnya', 'didiskualifikasi', 'terbukti', 'curang']","['milu', '2024', 'peluang', 'ulang', 'menang', 'diskualifikasi', 'bukti', 'curang']",milu 2024 peluang ulang menang diskualifikasi bukti curang
2024-02-19 15:09:16,untuk pemilu 2024 pertanggungjawaban jokowi sudah selayaknya dituntut sejak pernyataan cawecawe gorong2 yang membuat jurang pemisah sesama warga negara sirekap sebagai alat bantu pemilu curang,for the 2024 election jokowis accountability should be prosecuted since the cawecawe statement,0.0,0.0,1.0,0.0,Netral,untuk pemilu 2024 pertanggungjawaban jokowi sudah selayaknya dituntut sejak pernyataan cawecawe gorong2 yang membuat jurang pemisah sesama warga negara sirekap sebagai alat bantu pemilu curang,"['untuk', 'pemilu', '2024', 'pertanggungjawaban', 'jokowi', 'sudah', 'selayaknya', 'dituntut', 'sejak', 'pernyataan', 'cawecawe', 'gorong2', 'yang', 'membuat', 'jurang', 'pemisah', 'sesama', 'warga', 'negara', 'sirekap', 'sebagai', 'alat', 'bantu', 'pemilu', 'curang']","['pemilu', '2024', 'pertanggungjawaban', 'jokowi', 'selayaknya', 'dituntut', 'pernyataan', 'cawecawe', 'gorong2', 'jurang', 'pemisah', 'warga', 'negara', 'sirekap', 'bantu', 'pemilu', 'curang']","['milu', '2024', 'pertanggungjawaban', 'jokowi', 'layak', 'tuntut', 'nyata', 'cawecawe', 'gorong2', 'jurang', 'pisah', 'warga', 'negara', 'sirekap', 'bantu', 'milu', 'curang']",milu 2024 pertanggungjawaban jokowi layak tuntut nyata cawecawe gorong2 jurang pisah warga negara sirekap bantu pemilu curang
2024-02-19 15:58:38,2024 curang rakyat tidak percaya,2024 cheatpeople do not believe,0.0,0.0,1.0,0.0,Netral,2024 curang rakyat tidak percaya,"['2024', 'curang', 'rakyat', 'tidak', 'percaya']","['2024', 'curang', 'rakyat', 'percaya']","['2024', 'curang', 'rakyat', 'percaya']",2024 curang rakyat percaya
2024-02-19 16:46:12,perjuangan belum usai keadilan harus ditegakkan prof mahfud md menyebutkan pemilu 2024 berpeluang di ulang bahkan pemenangnya bisa di diskualifikasi jika terbukti curang sudah ada yurisprudensinya pelan tapi pasti awas ntar ada yg kena stroke,the struggle is not over justice must be upheld profmahfud md said that the 2024 election has the opportunity to repeat the winner can be disqualified if it is proven cheating there is already a jurisprudence slowly but surely watch out later someone has a stroke,0.06666666666666665,0.0,0.9333333333333333,0.06666666666666665,Positif,perjuangan belum usai keadilan harus ditegakkan prof mahfud md menyebutkan pemilu 2024 berpeluang di ulang bahkan pemenangnya bisa di diskualifikasi jika terbukti curang sudah ada yurisprudensinya pelan tapi pasti awas nanti ada yang kena stroke,"['perjuangan', 'belum', 'usai', 'keadilan', 'harus', 'ditegakkan', 'prof', 'mahfud', 'md', 'menyebutkan', 'pemilu', '2024', 'berpeluang', 'di', 'ulang', 'bahkan', 'pemenangnya', 'bisa', 'di', 'diskualifikasi', 'jika', 'terbukti', 'curang', 'sudah', 'ada', 'yurisprudensinya', 'pelan', 'tapi', 'pasti', 'awas', 'nanti', 'ada', 'yang', 'kena', 'stroke']","['perjuangan', 'keadilan', 'ditegakkan', 'prof', 'mahfud', 'md', 'pemilu', '2024', 'berpeluang', 'ulang', 'pemenangnya', 'diskualifikasi', 'terbukti', 'curang', 'yurisprudensinya', 'pelan', 'awas', 'kena', 'stroke']","['juang', 'adil', 'tegak', 'prof', 'mahfud', 'md', 'milu', '2024', 'peluang', 'ulang', 'menang', 'diskualifikasi', 'bukti', 'curang', 'yurisprudensi', 'pelan', 'awas', 'kena', 'stroke']",juang adil tegak prof mahfud md pemilu 2024 peluang ulang menang diskualifikasi bukti curang yurisprudensi pelan awas kena stroke
2024-02-19 16:51:40,ini saya bicara tanggal 10 januari 2023 pemilu tahun 2024 nanti akan ada yg teriak curang di suatu masa berselang setahun lamanya alkisah,i speak this january 10 2023 the 2024 elections will be shouting cheating in a year a year once upon a time,0.0,0.0,1.0,0.0,Netral,ini saya bicara tanggal 10 januari 2023 pemilu tahun 2024 nanti akan ada yang teriak curang di suatu masa berselang setahun lamanya alkisah,"['ini', 'saya', 'bicara', 'tanggal', '10', 'januari', '2023', 'pemilu', 'tahun', '2024', 'nanti', 'akan', 'ada', 'yang', 'teriak', 'curang', 'di', 'suatu', 'masa', 'berselang', 'setahun', 'lamanya', 'alkisah']","['bicara', 'tanggal', '10', 'januari', '2023', 'pemilu', '2024', 'curang', 'berselang', 'setahun', 'alkisah']","['bicara', 'tanggal', '10', 'januari', '2023', 'milu', '2024', 'curang', 'selang', 'tahun', 'alkisah']",bicara tanggal 10 januari 2023 pemilu 2024 curang selang tahun alkisah
