created_at,full_text,full_text_english
Sat Mar 09 14:25:47 +0000 2024,@Nicho_Silalahi EMAK EMAK MEDAN PUNYA CERITA AKSI TOLAK PEMILU CURANG HARI JUM'AT 08 MARET 2024 DI DEPAN GEDUNG DPRD MEDAN SUMATERA UTARA?? TURUNKAN HARGA SEMBAKO TOLAK PEMILU CURANG&amp POLITIK DINASTI MAKZULKAN JOKOWI SEGERA MAKZULKAN JOKOWI DALAM TEMPO YANG SESINGKAT SINGKATNYA???? https://t.co/2QxKFCGf5I,@Nicho_silalahi Mother Medan Mother has a story of the action of rejecting the cheating election on Friday 8 March 2024 in front of the Medan North Sumatra DPRD building ??Lower the price of the Basic Food Rejects the Cheat Election & the Political Dynasty Makzulkat Jokowi immediately Makzrakan in Jokowi in the shortest possible time ????https://t.co/2qxkfcgf5i
Sat Mar 09 13:11:58 +0000 2024,"Real .., Pemilu 2024 menjadi ajang adu curang. Siapayang paling curang, dia yang menang.","Real .., the 2024 election is a cheating competition.The cheating is the one who wins."
Sat Mar 09 13:06:48 +0000 2024,"@blank0429 @AirdanGelombang 2014-2019 Aman walaupun curang cenderung tanpa perlawanan,lebih pilih jadi pembantu dan menghamba jadi pembantu 2024 Amin dg segenap kekuatan melakukan perlawanan di semua lini dari pra, saat dan pasca pemilu, jangan lupa sebagian dari mereka sudah MUAK dg Nepotisme","@blank0429 @airdangelambangt 2014-2019 safe even though cheating tends without resistance, prefer to be a maid and draw to be a helper 2024 Amin with all the power to fight in all lines of the pre-line, when and post-election, don't forget some of them are fed up with nepotism"
Sat Mar 09 12:29:01 +0000 2024,Semoga lancar #HakAngketHakRakyat #DukungHakAngketDPR #TolakPemiluCurang #PemiluCurang2024,I hope it will run smoothly
Sat Mar 09 12:21:48 +0000 2024,@PDI_Perjuangan 02 mestinya senang ada hak angket krn biar tak Lg dicurigai menang dg curang jd mari pak @prabowo @Gerindra cs ersama2 dg @PDI_Perjuangan @DPP_PKB @PKSejahtera @NasDem dukung hak angket demi marwah pemilu 2024 dan demokrasi ...,@Pdi_perjuangan 02 it should be happy that there is a questionnaire right because it is not suspected of winning with cheating so sir @prabowo @gerindra cs equal2 with @pdi_perjangangan
Sat Mar 09 12:20:25 +0000 2024,"Artinya pemilu 2024 memang curang ,, ngeriii ya knpa harus seperti ini ?? Jokowi , KPU dan Bawaslu bisa terindikasi adalah sindikat .. ingat ya sindikat penjahat demokrasi","This means that the 2024 election is cheating ,, horrified, why should you be like this ??Jokowi, KPU and Bawaslu can be indicated are syndicates .. Remember yes democratic criminal syndicates"
Sat Mar 09 12:10:59 +0000 2024,@arifin34533 terimakasih @DPDRI ?? semoga dlm penyelidikannya mampu membuktikan dg objektif apakah pemilu 2024 ini curang atau tidak,@Arifin34533 Thank you @dpdri ??hopefully in the investigation can prove with objective whether the 2024 election is cheating or not
Sat Mar 09 11:49:16 +0000 2024,"Batalkan Hasil Pemilu 2024 dan laksanakan Pemilu ulang. Ini bukan soal menang-kalah. Jika terbukti banyak kecurangan - isunya semua curang, maka Pemilu hrs diulang. Prinsipnya luber dan jurdil demi demokrasi berkeadaban dan bermartabat (kualitas demokrasi). Kaji pemilu online.","Cancel the results of the 2024 elections and carry out re -elections.This is not a matter of winning.If it is proven that there is a lot of cheating - the issue is all cheating, then the HRS election is repeated.The principle is Luber and Jurdil for the sake of civilized democracy and dignified (the quality of democracy).Assess online elections."
Sat Mar 09 10:31:44 +0000 2024,@bengkeldodo @AndreasSolusi @Ndons_Back @Abaaah @ajengcute16__ @Akbar_man14 @Alexemeru @Partono_ADjem @Candj09 @capres_2024 @DamarLeonardo Yang curang ngomong pemilu sudah selesai. KPU aja masih bingung. Menang cuma berlandaskan Qodari Count,@bengkeldodo @andreassususi @ndons_back @abaaah @ajengcute16__ @akbar_man14 @alexemeruu @partono_adjem @candj09 @candidate_2024 @damarleonardo who cheat the election is complete.The KPU is still confused.Winning Only Based on Qodari Count
Sat Mar 09 10:22:23 +0000 2024,@AbdulRachimmks Setuju banget Semoga mereka yang curang atas pemilu 2024 Mendapatkan dosa besar yang tidak akan bisa di hapus sampai 7 turunan,@Abdulrachimmks really agreed that those who cheated on the 2024 elections received a big sin that could not be erased up to 7 derivatives
Sat Mar 09 09:42:15 +0000 2024,"2. Menerima pemilu curang berarti membiarkan orang yg curang utk berkuasa dan selanjutnya melakukan kecurangan lg."" (Radhar Tribaskoro, Komite Eksekutif KAMI) 12 Februari 2024: Dilema Pilpres dan Chaos https://t.co/68mbQA21Wb #PemiluCurangRakyatChaos #PemiluCurangRakyatChaos https://t.co/AtTSIfA3ta""","2. Receiving a cheating election means letting cheating people to rule and then commit fraud. ""(Radhar Tribaskoro, Our Executive Committee) February 12 2024: Dilemma of the Presidential Election and Chaos https://t.co/68mbqa21wb #pemilucurangkahayatchayatchayatchayatchayatchayatchayatchayatchayatchayatchayatchayatchayatchayatchayatchayatchayatchayatchayatchayatchayatchayatChayatchay//t.co/attsififa3ta """
Sat Mar 09 09:36:53 +0000 2024,@cagubnyinyir2 @Hendros02 @BoyMantouw Tuturan Qodari jadi bukti memang benarlah Pemilu Curang yang sudah di seting dari awala secara TSM. 5 januari 2024 kata qodari suara ganjar 16.9 % Kok tau...??? ?????? Sirekap dah di utak atik dari awal bin KPU ...??? https://t.co/ofa6L7MVZB,"@cagubnyinyir2 @hendros02 @boymantouw Speech Qodari is proof that it is true that the cheating elections have been set from the Awala on a TSM.January 5, 2024 The word qodari votes Ganjar 16.9 % how do you know ... ?????????Sirekap has been played from the beginning of the KPU ... ???https://t.co/ofa6l7mvzb"
Sat Mar 09 08:43:44 +0000 2024,"Tepat sekali Fatwa yang dikeluarkan oleh MUI tahun 2023, namun tidak tersosialisasikan dengan baik dan sekarang baru kita sadar setelah terlaksananya â€œPEMILU CURANG 2024â€?? https://t.co/2Qbp3OufCp","Exactly the fatwa issued by the MUI in 2023, but it was not well socialized and now we realize after the implementation of ""Pemilu Cheat 2024"" ??https://t.co/2qbp3oufcp"
Sat Mar 09 08:42:35 +0000 2024,Beneran udah curang yaa pemilu presiden Indonesia 2024 ini. Dan terstruktur Masa iya saksi ga boleh protes kalo datanya ga sesuai dengan yang mereka pegang https://t.co/dQNCdJH703,"It's really cheating, the Indonesian Presidential Election 2024.And structured when the witness may not protest if the data is not in accordance with what they hold https://t.co/dqncdjh703"
Sat Mar 09 08:12:10 +0000 2024,@PakdheZaki Berarti emang benar dong Pemilu 2024 CURANG ???? https://t.co/nPmRYAj2bA,@Pakdhezaki means it's true that the 2024 election is cheating ????https://t.co/npmryaj2ba
